1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9.9999997e-10
9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10, 9.9999997e-10

